lemma,original_form,reason,url
стратегический,стратегические,mid_sentence_cap,https://www.hse.ru/ma/pep
или,или,mid_sentence_cap,https://www.hse.ru/ma/pep
междисциплинарный,междисциплинарные,mid_sentence_cap,https://www.hse.ru/ma/pep
освоение,Освоение,mid_sentence_cap,https://www.hse.ru/ma/pep
несколько,несколько,mid_sentence_cap,https://www.hse.ru/ma/pep
изучение,изучению,mid_sentence_cap,https://www.hse.ru/ma/pep
социально-экономический,социально-экономических,mid_sentence_cap,https://www.hse.ru/ma/pep
ведущий,Ведущие,mid_sentence_cap,https://www.hse.ru/ma/pep
швейцария,Швейцарии,pymorphy3:Geox,https://www.hse.ru/ma/pep
италия,Италии,pymorphy3:Geox,https://www.hse.ru/ma/pep
финляндия,Финляндии,pymorphy3:Geox,https://www.hse.ru/ma/pep
другой,других,mid_sentence_cap,https://www.hse.ru/ma/pep
европейский,европейских,mid_sentence_cap,https://www.hse.ru/ma/pep
учёба,учебу,mid_sentence_cap,https://www.hse.ru/ma/pep
например,например,mid_sentence_cap,https://www.hse.ru/ma/pep
байройт,Байройта,pymorphy3:Surn,https://www.hse.ru/ma/pep
виттен-хердека,Виттен-Хердеке,pymorphy3:Surn,https://www.hse.ru/ma/pep
прохождение,прохождение,mid_sentence_cap,https://www.hse.ru/ma/pep
из,из,pymorphy3:Name,https://www.hse.ru/ma/pep
чем,Чем,mid_sentence_cap,https://www.hse.ru/ma/pep
если,Если,mid_sentence_cap,https://www.hse.ru/ma/pep
не,не,mid_sentence_cap,https://www.hse.ru/ma/pep
планка,планки,pymorphy3:Surn,https://www.hse.ru/ma/pep
свой,свою,mid_sentence_cap,https://www.hse.ru/ma/pep
всё,все,mid_sentence_cap,https://www.hse.ru/ma/pep
научно-исследовательский,научно-исследовательский,mid_sentence_cap,https://www.hse.ru/ma/pep
коммерческий,коммерческие,mid_sentence_cap,https://www.hse.ru/ma/pep
регулярно,Регулярно,mid_sentence_cap,https://www.hse.ru/ma/pep
выпускной,выпускной,mid_sentence_cap,https://www.hse.ru/ma/pep
проводиться,проводится,mid_sentence_cap,https://www.hse.ru/ma/pep
немой,нем,pymorphy3:Abbr,https://www.hse.ru/ma/pep
также,также,mid_sentence_cap,https://www.hse.ru/ma/pep
они,им,pymorphy3:Abbr,https://www.hse.ru/ma/pep
трудоустройство,Трудоустройство,mid_sentence_cap,https://www.hse.ru/ma/pep
возможно,возможно,mid_sentence_cap,https://www.hse.ru/ma/pep
россия,России,pymorphy3:Geox,https://www.hse.ru/ma/pep
так,так,mid_sentence_cap,https://www.hse.ru/ma/pep
март,марта,pymorphy3:Name,https://www.hse.ru/ma/pep
московский,московскому,pymorphy3:Surn,https://www.hse.ru/ma/pep
поступать,Поступающим,mid_sentence_cap,https://www.hse.ru/ma/pep
дверь,дверей,mid_sentence_cap,https://www.hse.ru/ma/pep
про,про,pymorphy3:Abbr,https://www.hse.ru/ma/pep
прикладной,прикладную,mid_sentence_cap,https://www.hse.ru/ma/pep
февраль,февраля,mid_sentence_cap,https://www.hse.ru/ma/pep
май,мая,pymorphy3:Geox,https://www.hse.ru/ma/pep
весь,всех,mid_sentence_cap,https://www.hse.ru/ma/pep
онлайн,онлайн,mid_sentence_cap,https://www.hse.ru/ma/pep
декабрь,декабря,mid_sentence_cap,https://www.hse.ru/ma/pep
г,г,pymorphy3:Abbr,https://www.hse.ru/ma/pep
ещё,Еще,mid_sentence_cap,https://www.hse.ru/ma/pep
сайт,сайт,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
для,Для,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
мы,Мы,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
файл,файлы,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
ниу,НИУ,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
вшэ,ВШЭ,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
и,и,pymorphy3:Abbr,https://social.hse.ru/?vision=enabledq?vision=enabled
он,его,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
более,Более,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
можно,можно,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
найти,найти,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
здесь,здесь,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
наш,наши,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
данные,данных,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
ваш,Вашего,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
аба,АБ,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
а,А,"pymorphy3:Abbr,Name",https://social.hse.ru/?vision=enabledq?vision=enabled
русый,РУС,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
хороший,Лучшие,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
базовый,Базовые,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
всероссийский,Всероссийского,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
изучение,изучения,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
